observed_on,latitude,longitude,scientific_name,common_name,,Source
6/17/2019,28.88210869,-118.2929001,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
6/17/2019,28.88214874,-118.2928696,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
6/17/2019,28.88214684,-118.293129,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
7/13/2019,46.52446517,-125.3260105,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
7/23/2019,40.13093938,-124.0529883,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
8/22/2019,37.78422687,-123.0507775,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
10/6/2019,38.1774,-123.7131,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
10/6/2019,38.13338,-123.6473,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
11/3/2019,35.23945452,-122.1041747,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
11/3/2019,35.22031021,-122.0936432,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
6/18/2007,20.653407,-105.225332,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
6/18/2007,28.98828333,-118.2262333,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
6/18/2007,29.05252,-118.27605,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
6/18/2007,29.05252,-118.27605,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
5/21/2012,28.29462562,-115.5404191,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
6/18/2007,29.05252,-118.27605,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
4/3/2015,28.31439967,-115.5902762,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
10/10/2013,29.15919625,-118.2815451,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
11/18/2015,29.11178221,-118.271546,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
4/6/2020,35.08452029,-120.7970911,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
1/26/2018,25.4371671,-109.3739913,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
1/26/2018,25.43524255,-109.3779657,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
1/26/2018,25.43703499,-109.374672,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
1/26/2018,25.43689935,-109.3743501,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
5/13/2020,20.24989857,-105.5840183,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
5/13/2020,45.99756207,-123.9896514,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
8/5/2013,29.13292219,-118.274677,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
5/16/2020,38.5516531,-123.3078049,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
5/31/2020,38.44086641,-123.1045623,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
6/7/2020,40.80444872,-124.078964,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
6/15/2020,38.01107894,-122.9602887,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
6/16/2020,46.06321499,-123.8998691,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
6/18/2020,41.86253189,-124.2060404,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
1/28/2019,48.97722495,-125.6141458,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
6/23/2020,37.68288468,-122.4836792,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
7/5/2020,44.43225475,-124.1785583,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
7/22/2020,46.91034979,-124.8457177,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
8/1/2020,37.4528,-122.7633,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
8/28/2020,40.86323766,-124.151762,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
7/14/2019,34.08292825,-119.4804394,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
6/18/2007,29.05252,-118.27605,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
6/18/2007,29.05252,-118.27605,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
8/22/2019,37.71542796,-123.0146718,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
5/7/2021,43.82589743,-124.0064217,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
5/18/2021,37.78600654,-122.5084921,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
6/4/2021,37.64481521,-122.5349438,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
6/5/2021,45.08892876,-124.1349763,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
6/5/2021,45.07944796,-124.0484738,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
6/5/2021,45.05634286,-124.0912255,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
6/5/2021,45.11290272,-124.0549729,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
6/6/2021,37.54883238,-122.4462258,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
6/13/2021,37.51658791,-122.450442,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
6/16/2021,41.91198435,-124.2010749,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
6/23/2021,45.02585509,-124.0627567,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
5/4/2015,41.9150903,-124.2008903,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
5/21/2020,44.84187826,-124.0799193,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
6/6/2019,28.88357446,-118.2945226,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
8/22/2021,36.80104,-122.20932,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
